State,Crop,cropSeason,Year,Yield,lai_lv,uvb,t2m_C,windSpeed,relativeHumidity,wbi,rsm,swvl3,tp,cvl
Rajasthan,Cotton,Kharif,2016-2017,506,1.083038448,2173351.743,30.58748934,2.137834736,88.40439526,0.008261189,0.512219197,1147.847451,16.42889363,1
Madhya Pradesh,Cotton,Kharif,2016-2017,582,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Haryana,Cotton,Kharif,2016-2017,609,1.331476375,2162537.698,30.0136874,1.058736964,90.17430195,0.008596251,0.532405902,154.9363133,2.336333596,1
Punjab,Cotton,Kharif,2016-2017,615,1.355923898,2281453.223,30.63306404,0.886692635,89.06445451,0.008144959,0.536418341,212.3671993,2.555171964,1
Karnataka,Cotton,Kharif,2016-2017,337,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
West Bengal,Jute,Kharif,2016-2017,2803,1.793864705,1818401.107,28.76453971,1.826770316,95.31389743,0.009278283,0.69467615,496.7045005,12.70704064,0
Bihar,Jute,Kharif,2016-2017,2626,1.683664756,1829347.873,28.89761372,1.664300061,94.64559059,0.009416384,0.81817601,374.123685,9.592374717,1
Assam,Jute,Kharif,2016-2017,1885,1.975700827,1709144.296,24.1429962,0.593763837,96.37672374,0.005317906,0.892445697,935.2047209,26.9323918,0
Andhra Pradesh,Jute,Kharif,2016-2017,1620,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
Odisha,Jute,Kharif,2016-2017,826,1.693181672,1807085.623,27.85679001,2.338499525,95.01443004,0.009212181,0.516892139,514.7812322,18.71939637,0
