State,Crop,cropSeason,Year,Yield,lai_lv,uvb,t2m_C,windSpeed,relativeHumidity,wbi,rsm,swvl3,tp,cvl
Andhra Pradesh,Sugarcane,Kharif,2017-2018,80283,1.311785679,1953263.452,28.0956157,3.015382353,93.89447786,0.008585141,0.429934073,995.6660467,32.90022471,0
Madhya Pradesh,Sugarcane,Kharif,2017-2018,55408,1.894649546,1922093.04,28.32768338,1.647258018,91.77849421,0.009054061,0.741908486,1551.301196,24.76371688,1
Gujarat,Tobacco,Rabi,2017-2018,2246,1.023417633,2236822.9,25.24048622,2.341393903,85.64823772,0.00454291,0.460379029,663.3089665,1.136175269,0
Andhra Pradesh,Tobacco,Rabi,2017-2018,2269,1.25409693,2307309.63,26.52824426,2.274205405,88.80316636,0.00445633,0.41521111,1171.782859,5.566947936,0
Uttar Pradesh,Tobacco,Rabi,2017-2018,4407,1.465132265,2077873.66,15.7544185,1.030399912,88.07508859,0.004307565,0.568617216,1710.426279,4.006031037,1
Karnataka,Tobacco,Rabi,2017-2018,722,1.428726564,2395482.969,26.20416288,1.551078905,85.34819256,0.006132036,0.580969565,875.7228286,1.892200147,0
West Bengal,Tobacco,Rabi,2017-2018,1700,1.65429577,1958014.229,23.50533112,1.419617432,91.72254877,0.004550318,0.678986148,567.1447936,2.548612853,0
Bihar,Tobacco,Rabi,2017-2018,1761,1.521544386,1955836.688,22.21871479,1.072172684,90.82027927,0.004127006,0.816215158,436.0238331,1.146119822,1
West Bengal,Rice,Kharif,2016-2017,2784,1.793864705,1818401.107,28.76453971,1.826770316,95.31389743,0.009278283,0.69467615,496.7045005,12.70704064,0
Punjab,Rice,Kharif,2016-2017,3998,1.355923898,2281453.223,30.63306404,0.886692635,89.06445451,0.008144959,0.536418341,212.3671993,2.555171964,1
Uttar Pradesh,Rice,Kharif,2016-2017,2295,1.585755773,2005393.746,24.05095897,0.995997456,93.13669439,0.008105945,0.576661985,1415.079698,28.88525582,1
Andhra Pradesh,Rice,Kharif,2016-2017,3540,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
Bihar,Rice,Kharif,2016-2017,2467,1.683664756,1829347.873,28.89761372,1.664300061,94.64559059,0.009416384,0.81817601,374.123685,9.592374717,1
Tamilnadu,Rice,Kharif,2016-2017,1642,1.380752693,2299757.888,27.82134984,3.588693101,92.01882006,0.00642805,0.402624965,272.2193872,4.676303465,0
Odisha,Rice,Kharif,2016-2017,2160,1.693181672,1807085.623,27.85679001,2.338499525,95.01443004,0.009212181,0.516892139,514.7812322,18.71939637,0
Assam,Rice,Kharif,2016-2017,1916,1.975700827,1709144.296,24.1429962,0.593763837,96.37672374,0.005317906,0.892445697,935.2047209,26.9323918,0
Chhattisgarh,Rice,Kharif,2016-2017,2101,2.407783222,1707620.155,27.20526426,1.216299657,93.90684363,0.00902048,0.780898122,689.2405526,18.19120651,0.035402536
Haryana,Rice,Kharif,2016-2017,3213,1.331476375,2162537.698,30.0136874,1.058736964,90.17430195,0.008596251,0.532405902,154.9363133,2.336333596,1
Madhya Pradesh,Rice,Kharif,2016-2017,1847,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Uttar Pradesh,Wheat,Rabi,2016-2017,3113,1.45834405,2271832.125,16.32567279,1.13915432,86.19733126,0.00516052,0.506011142,900.547296,1.994356156,1
Punjab,Wheat,Rabi,2016-2017,4704,1.472145152,2050037.648,20.0870408,1.134278674,87.84558046,0.005283788,0.594713197,194.0367614,0.711524963,1
Madhya Pradesh,Wheat,Rabi,2016-2017,2976,1.716208813,2348429.894,25.41770694,1.066407994,81.68005091,0.006712525,0.66273163,987.4603285,0.917696387,1
Haryana,Wheat,Rabi,2016-2017,4514,1.425062189,2136245.912,21.15541831,1.205791359,86.56418519,0.005486413,0.517246209,120.1390491,0.282418237,1
Rajasthan,Wheat,Rabi,2016-2017,3175,1.039255714,2286267.024,23.41573728,1.370366347,81.84548874,0.005587621,0.483599992,835.0800773,0.664078012,1
Bihar,Wheat,Rabi,2016-2017,2427,1.474660229,2189987.959,23.87516548,1.111148108,86.42330779,0.005989959,0.734792357,208.5818854,0.399985364,1
Gujarat,Wheat,Rabi,2016-2017,2751,0.991481579,2434568.498,25.58327143,2.520952299,84.81894179,0.004711797,0.443147757,363.8846794,0.027481306,0
Maharashtra,Wheat,Rabi,2016-2017,1474,1.631010202,2462988.463,27.95776915,1.4245471,82.91638272,0.006722988,0.611270255,948.3644868,0.579039454,0
Rajasthan,Cereals,Kharif,2016-2017,1134,1.083038448,2173351.743,30.58748934,2.137834736,88.40439526,0.008261189,0.512219197,1147.847451,16.42889363,1
Karnataka,Cereals,Kharif,2016-2017,1661,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
Maharashtra,Cereals,Kharif,2016-2017,1262,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
Madhya Pradesh,Cereals,Kharif,2016-2017,2285,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Uttar Pradesh,Cereals,Kharif,2016-2017,1947,1.585755773,2005393.746,24.05095897,0.995997456,93.13669439,0.008105945,0.576661985,1415.079698,28.88525582,1
Tamilnadu,Cereals,Kharif,2016-2017,1873,1.380752693,2299757.888,27.82134984,3.588693101,92.01882006,0.00642805,0.402624965,272.2193872,4.676303465,0
Andhra Pradesh,Cereals,Kharif,2016-2017,4385,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
Bihar,Cereals,Kharif,2016-2017,3649,1.683664756,1829347.873,28.89761372,1.664300061,94.64559059,0.009416384,0.81817601,374.123685,9.592374717,1
Gujarat,Cereals,Kharif,2016-2017,1884,1.072244879,1918449.649,28.68774509,4.074012505,92.96442437,0.00712273,0.4729462,505.6748535,9.619510705,0
West Bengal,Cereals,Kharif,2016-2017,4090,1.793864705,1818401.107,28.76453971,1.826770316,95.31389743,0.009278283,0.69467615,496.7045005,12.70704064,0
Haryana,Cereals,Kharif,2016-2017,1924,1.331476375,2162537.698,30.0136874,1.058736964,90.17430195,0.008596251,0.532405902,154.9363133,2.336333596,1
Maharashtra,Jowar,Kharif,2016-2017,711,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
Karnataka,Jowar,Kharif,2016-2017,892,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
Madhya Pradesh,Jowar,Kharif,2016-2017,1721,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Tamilnadu,Jowar,Kharif,2016-2017,573,1.380752693,2299757.888,27.82134984,3.588693101,92.01882006,0.00642805,0.402624965,272.2193872,4.676303465,0
Andhra Pradesh,Jowar,Kharif,2016-2017,2041,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
Rajasthan,Jowar,Kharif,2016-2017,603,1.083038448,2173351.743,30.58748934,2.137834736,88.40439526,0.008261189,0.512219197,1147.847451,16.42889363,1
Uttar Pradesh,Jowar,Kharif,2016-2017,1000,1.585755773,2005393.746,24.05095897,0.995997456,93.13669439,0.008105945,0.576661985,1415.079698,28.88525582,1
Gujarat,Jowar,Kharif,2016-2017,1415,1.072244879,1918449.649,28.68774509,4.074012505,92.96442437,0.00712273,0.4729462,505.6748535,9.619510705,0
Rajasthan,Bajra,Kharif,2016-2017,1001,1.083038448,2173351.743,30.58748934,2.137834736,88.40439526,0.008261189,0.512219197,1147.847451,16.42889363,1
Uttar Pradesh,Bajra,Kharif,2016-2017,1914,1.585755773,2005393.746,24.05095897,0.995997456,93.13669439,0.008105945,0.576661985,1415.079698,28.88525582,1
Gujarat,Bajra,Kharif,2016-2017,2160,1.072244879,1918449.649,28.68774509,4.074012505,92.96442437,0.00712273,0.4729462,505.6748535,9.619510705,0
Madhya Pradesh,Bajra,Kharif,2016-2017,2431,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Haryana,Bajra,Kharif,2016-2017,2017,1.331476375,2162537.698,30.0136874,1.058736964,90.17430195,0.008596251,0.532405902,154.9363133,2.336333596,1
Maharashtra,Bajra,Kharif,2016-2017,955,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
Karnataka,Bajra,Kharif,2016-2017,1054,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
Karnataka,Maize,Kharif,2016-2017,2419,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
Maharashtra,Maize,Kharif,2016-2017,3009,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
Madhya Pradesh,Maize,Kharif,2016-2017,2602,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Tamilnadu,Maize,Kharif,2016-2017,3026,1.380752693,2299757.888,27.82134984,3.588693101,92.01882006,0.00642805,0.402624965,272.2193872,4.676303465,0
Bihar,Maize,Kharif,2016-2017,3762,1.683664756,1829347.873,28.89761372,1.664300061,94.64559059,0.009416384,0.81817601,374.123685,9.592374717,1
Andhra Pradesh,Maize,Kharif,2016-2017,6612,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
Rajasthan,Maize,Kharif,2016-2017,1501,1.083038448,2173351.743,30.58748934,2.137834736,88.40439526,0.008261189,0.512219197,1147.847451,16.42889363,1
Uttar Pradesh,Maize,Kharif,2016-2017,2064,1.585755773,2005393.746,24.05095897,0.995997456,93.13669439,0.008105945,0.576661985,1415.079698,28.88525582,1
West Bengal,Maize,Kharif,2016-2017,4367,1.793864705,1818401.107,28.76453971,1.826770316,95.31389743,0.009278283,0.69467615,496.7045005,12.70704064,0
Madhya Pradesh,Gram,Rabi,2016-2017,1100,1.716208813,2348429.894,25.41770694,1.066407994,81.68005091,0.006712525,0.66273163,987.4603285,0.917696387,1
Maharashtra,Gram,Rabi,2016-2017,891,1.631010202,2462988.463,27.95776915,1.4245471,82.91638272,0.006722988,0.611270255,948.3644868,0.579039454,0
Rajasthan,Gram,Rabi,2016-2017,911,1.039255714,2286267.024,23.41573728,1.370366347,81.84548874,0.005587621,0.483599992,835.0800773,0.664078012,1
Karnataka,Gram,Rabi,2016-2017,590,1.34859093,2559116.786,28.05584805,1.454531496,84.32345747,0.006438509,0.540208928,490.3314983,0.327676803,0
Andhra Pradesh,Gram,Rabi,2016-2017,960,1.188897859,2485454.495,27.88407417,2.447240118,88.08188391,0.004510703,0.383455185,642.257375,0.621431351,0
Uttar Pradesh,Gram,Rabi,2016-2017,1114,1.45834405,2271832.125,16.32567279,1.13915432,86.19733126,0.00516052,0.506011142,900.547296,1.994356156,1
Gujarat,Gram,Rabi,2016-2017,1116,0.991481579,2434568.498,25.58327143,2.520952299,84.81894179,0.004711797,0.443147757,363.8846794,0.027481306,0
Chhattisgarh,Gram,Rabi,2016-2017,1171,2.202070634,2327461.017,26.12745515,0.950755221,83.45206753,0.006804084,0.678470394,359.8860539,0.741207322,0.035402536
Jharkhand,Gram,Rabi,2016-2017,1174,1.856646364,2265185.807,25.08142407,1.097460785,85.6002392,0.006680045,0.68974551,205.0279354,0.635330635,0.5137274
Maharashtra,Arhar,Kharif,2016-2017,1042,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
Madhya Pradesh,Arhar,Kharif,2016-2017,1133,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Karnataka,Arhar,Kharif,2016-2017,749,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
Gujarat,Arhar,Kharif,2016-2017,1156,1.072244879,1918449.649,28.68774509,4.074012505,92.96442437,0.00712273,0.4729462,505.6748535,9.619510705,0
Uttar Pradesh,Arhar,Kharif,2016-2017,1074,1.585755773,2005393.746,24.05095897,0.995997456,93.13669439,0.008105945,0.576661985,1415.079698,28.88525582,1
Jharkhand,Arhar,Kharif,2016-2017,1002,2.15070056,1802898.298,27.90766047,1.177897207,94.58519844,0.00941863,0.758349045,383.9159191,9.255645247,0.5137274
Odisha,Arhar,Kharif,2016-2017,884,1.693181672,1807085.623,27.85679001,2.338499525,95.01443004,0.009212181,0.516892139,514.7812322,18.71939637,0
Andhra Pradesh,Arhar,Kharif,2016-2017,380,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
Tamilnadu,Arhar,Kharif,2016-2017,655,1.380752693,2299757.888,27.82134984,3.588693101,92.01882006,0.00642805,0.402624965,272.2193872,4.676303465,0
Madhya Pradesh,Masur,Rabi,2016-2017,846,1.716208813,2348429.894,25.41770694,1.066407994,81.68005091,0.006712525,0.66273163,987.4603285,0.917696387,1
Uttar Pradesh,Masur,Rabi,2016-2017,761,1.45834405,2271832.125,16.32567279,1.13915432,86.19733126,0.00516052,0.506011142,900.547296,1.994356156,1
West Bengal,Masur,Rabi,2016-2017,976,1.594991505,2180369.557,24.96549488,1.300273141,89.77686088,0.005670175,0.636870367,289.0724729,1.054786939,0
Bihar,Masur,Rabi,2016-2017,1005,1.474660229,2189987.959,23.87516548,1.111148108,86.42330779,0.005989959,0.734792357,208.5818854,0.399985364,1
Jharkhand,Masur,Rabi,2016-2017,864,1.856646364,2265185.807,25.08142407,1.097460785,85.6002392,0.006680045,0.68974551,205.0279354,0.635330635,0.5137274
Rajasthan,Masur,Rabi,2016-2017,1003,1.039255714,2286267.024,23.41573728,1.370366347,81.84548874,0.005587621,0.483599992,835.0800773,0.664078012,1
Assam,Masur,Rabi,2016-2017,658,1.907256973,1800624.619,17.15324581,0.638397429,93.7372359,0.00528825,0.805549469,614.496972,8.931239135,0
Gujarat,Groundnut,Kharif,2016-2017,1795,1.072244879,1918449.649,28.68774509,4.074012505,92.96442437,0.00712273,0.4729462,505.6748535,9.619510705,0
Rajasthan,Groundnut,Kharif,2016-2017,2051,1.083038448,2173351.743,30.58748934,2.137834736,88.40439526,0.008261189,0.512219197,1147.847451,16.42889363,1
Andhra Pradesh,Groundnut,Kharif,2016-2017,595,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
Tamilnadu,Groundnut,Kharif,2016-2017,2084,1.380752693,2299757.888,27.82134984,3.588693101,92.01882006,0.00642805,0.402624965,272.2193872,4.676303465,0
Karnataka,Groundnut,Kharif,2016-2017,629,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
Madhya Pradesh,Groundnut,Kharif,2016-2017,1482,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Maharashtra,Groundnut,Kharif,2016-2017,1184,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
West Bengal,Groundnut,Kharif,2016-2017,2279,1.793864705,1818401.107,28.76453971,1.826770316,95.31389743,0.009278283,0.69467615,496.7045005,12.70704064,0
Rajasthan,Mustard,Rabi,2016-2017,1422,1.039255714,2286267.024,23.41573728,1.370366347,81.84548874,0.005587621,0.483599992,835.0800773,0.664078012,1
Haryana,Mustard,Rabi,2016-2017,1853,1.425062189,2136245.912,21.15541831,1.205791359,86.56418519,0.005486413,0.517246209,120.1390491,0.282418237,1
Madhya Pradesh,Mustard,Rabi,2016-2017,1299,1.716208813,2348429.894,25.41770694,1.066407994,81.68005091,0.006712525,0.66273163,987.4603285,0.917696387,1
Uttar Pradesh,Mustard,Rabi,2016-2017,1245,1.45834405,2271832.125,16.32567279,1.13915432,86.19733126,0.00516052,0.506011142,900.547296,1.994356156,1
West Bengal,Mustard,Rabi,2016-2017,1077,1.594991505,2180369.557,24.96549488,1.300273141,89.77686088,0.005670175,0.636870367,289.0724729,1.054786939,0
Gujarat,Mustard,Rabi,2016-2017,1711,0.991481579,2434568.498,25.58327143,2.520952299,84.81894179,0.004711797,0.443147757,363.8846794,0.027481306,0
Jharkhand,Mustard,Rabi,2016-2017,728,1.856646364,2265185.807,25.08142407,1.097460785,85.6002392,0.006680045,0.68974551,205.0279354,0.635330635,0.5137274
Assam,Mustard,Rabi,2016-2017,644,1.907256973,1800624.619,17.15324581,0.638397429,93.7372359,0.00528825,0.805549469,614.496972,8.931239135,0
Bihar,Mustard,Rabi,2016-2017,1180,1.474660229,2189987.959,23.87516548,1.111148108,86.42330779,0.005989959,0.734792357,208.5818854,0.399985364,1
Punjab,Mustard,Rabi,2016-2017,1413,1.472145152,2050037.648,20.0870408,1.134278674,87.84558046,0.005283788,0.594713197,194.0367614,0.711524963,1
Madhya Pradesh,Soyabean,Kharif,2016-2017,1231,1.894649546,1798535.611,28.09374327,1.710717281,92.19387702,0.009264533,0.773347935,1668.689596,35.80484024,1
Maharashtra,Soyabean,Kharif,2016-2017,1194,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
Rajasthan,Soyabean,Kharif,2016-2017,1072,1.083038448,2173351.743,30.58748934,2.137834736,88.40439526,0.008261189,0.512219197,1147.847451,16.42889363,1
Karnataka,Soyabean,Kharif,2016-2017,745,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
Gujarat,Soyabean,Kharif,2016-2017,717,1.072244879,1918449.649,28.68774509,4.074012505,92.96442437,0.00712273,0.4729462,505.6748535,9.619510705,0
Karnataka,Sunflower,Kharif,2016-2017,445,1.459262525,1863388.508,25.53092672,3.451983361,93.63423169,0.00857033,0.630250019,766.100692,15.80299877,0
Bihar,Sunflower,Kharif,2016-2017,1428,1.683664756,1829347.873,28.89761372,1.664300061,94.64559059,0.009416384,0.81817601,374.123685,9.592374717,1
Odisha,Sunflower,Kharif,2016-2017,1191,1.693181672,1807085.623,27.85679001,2.338499525,95.01443004,0.009212181,0.516892139,514.7812322,18.71939637,0
Maharashtra,Sunflower,Kharif,2016-2017,594,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
Andhra Pradesh,Sunflower,Kharif,2016-2017,1000,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
Punjab,Sunflower,Kharif,2016-2017,1655,1.355923898,2281453.223,30.63306404,0.886692635,89.06445451,0.008144959,0.536418341,212.3671993,2.555171964,1
West Bengal,Sunflower,Kharif,2016-2017,1312,1.793864705,1818401.107,28.76453971,1.826770316,95.31389743,0.009278283,0.69467615,496.7045005,12.70704064,0
Tamilnadu,Sunflower,Kharif,2016-2017,392,1.380752693,2299757.888,27.82134984,3.588693101,92.01882006,0.00642805,0.402624965,272.2193872,4.676303465,0
Gujarat,Cotton,Kharif,2016-2017,612,1.072244879,1918449.649,28.68774509,4.074012505,92.96442437,0.00712273,0.4729462,505.6748535,9.619510705,0
Maharashtra,Cotton,Kharif,2016-2017,475,1.8058334,1745432.926,26.98463215,2.905854977,93.40221444,0.009345806,0.722625765,1576.1364,35.46629489,0
Andhra Pradesh,Cotton,Kharif,2016-2017,563,1.311785679,1952112.053,27.99232604,3.414266145,93.07640173,0.008306409,0.436855399,1035.132514,33.01856231,0
